WE_DATE,WGTN_DEL
2/07/2017,73679
9/07/2017,72024
16/07/2017,67962
23/07/2017,72278
30/07/2017,71807
6/08/2017,69298
13/08/2017,70485
20/08/2017,70954
27/08/2017,70792
3/09/2017,70840
10/09/2017,74992
17/09/2017,75046
24/09/2017,65315
1/10/2017,67467
8/10/2017,68624
15/10/2017,69450
22/10/2017,73846
29/10/2017,67240
5/11/2017,77302
12/11/2017,79537
19/11/2017,88786
26/11/2017,92430
3/12/2017,91380
10/12/2017,89823
17/12/2017,98777
24/12/2017,107615
31/12/2017,31398
7/01/2018,35913
14/01/2018,68833
21/01/2018,67288
28/01/2018,69600
4/02/2018,65897
11/02/2018,68002
18/02/2018,78004
25/02/2018,73585
4/03/2018,74590
11/03/2018,74250
18/03/2018,75249
25/03/2018,75367
1/04/2018,64317
8/04/2018,67597
15/04/2018,73586
22/04/2018,74435
29/04/2018,65165
6/05/2018,77187
13/05/2018,77135
20/05/2018,72358
27/05/2018,74141
3/06/2018,71824
10/06/2018,64417
17/06/2018,78415
24/06/2018,76179
1/07/2018,73359
8/07/2018,73607
15/07/2018,69537
22/07/2018,70369
29/07/2018,70839
5/08/2018,73482
12/08/2018,73812
19/08/2018,72002
26/08/2018,73556
2/09/2018,75495
9/09/2018,73019
16/09/2018,75432
23/09/2018,77283
30/09/2018,72483
7/10/2018,72185
14/10/2018,70533
21/10/2018,69605
28/10/2018,69118
4/11/2018,81607
11/11/2018,82376
18/11/2018,88758
25/11/2018,95916
2/12/2018,102431
9/12/2018,99015
16/12/2018,102148
23/12/2018,116119
30/12/2018,34277
6/01/2019,36044
13/01/2019,80073
20/01/2019,78240
27/01/2019,70543
3/02/2019,73135
10/02/2019,70862
17/02/2019,80291
24/02/2019,81366
3/03/2019,79381
10/03/2019,80334
17/03/2019,76804
24/03/2019,77558
31/03/2019,76897
7/04/2019,81637
14/04/2019,66912
21/04/2019,53608
28/04/2019,88139
5/05/2019,86773
12/05/2019,80232
19/05/2019,80584
26/05/2019,82289
2/06/2019,71175
9/06/2019,82257
16/06/2019,80376
23/06/2019,78488
